player_name,season,shots_total,goals,xg_total,xg_per_shot,on_target,goals_minus_xg,conversion_rate
B. Jane,WSL 2017-2018,1,0,0.0,0.0,1,0.0,0.0
B. Jane,WSL 2018-2019,2,0,0.1409691572189331,0.07048457860946655,1,-0.1409691572189331,0.0
B. Jane,WSL 2019-2020,5,0,0.405637264251709,0.0811274528503418,2,-0.405637264251709,0.0
B. Leon,WSL 2017,10,2,1.1108342930674553,0.11108342930674553,7,0.8891657069325447,0.2
B. Mead,WSL 2015,4,1,0.48191864788532257,0.12047966197133064,3,0.5180813521146774,0.25
B. Mead,WSL 2016,2,0,0.24282100796699524,0.12141050398349762,0,-0.24282100796699524,0.0
B. Mead,WSL 2017,16,1,2.1347351148724556,0.13342094467952847,8,-1.1347351148724556,0.0625
B. Mead,WSL 2017-2018,51,8,5.125058032572269,0.10049133397200528,40,2.8749419674277306,0.1568627450980392
B. Mead,WSL 2018-2019,36,7,4.4696275517344475,0.12415632088151243,25,2.5303724482655525,0.19444444444444445
B. Mead,WSL 2019-2020,31,3,2.464264675974846,0.07949240890241438,19,0.5357353240251541,0.0967741935483871
